Source,Xexp,Xpred
Ferrell,0.022255866,0.019905316
Ferrell,0.02306388,0.027917486
Ferrell,0.027763184,0.029712427
Ferrell,0.028061807,0.03456685
Ferrell,0.030244065,0.040035795
Ferrell,0.039518382,0.039154664
Ferrell,0.039097846,0.05515993
Ferrell,0.04183885,0.0619272
Ferrell,0.034264762,0.037953567
Bartolomei_1,0.028668724,0.03898078
Bartolomei_1,0.03786289,0.03291523
Bartolomei_1,0.033659197,0.035344735
Bartolomei_1,0.04623233,0.08124447
Bartolomei_1,0.056250848,0.07910353
Bartolomei_1,0.06917652,0.069524705
Bartolomei_2,0.018754382,0.03518777
Bartolomei_2,0.03236437,0.045754958
Bartolomei_2,0.037998155,0.039329324
Bartolomei_2,0.037998155,0.06620279
Bartolomei_2,0.042591576,0.056652837
Bartolomei_2,0.051087167,0.07172492
Bartolomei_2,0.16514395,0.24719588
Bartolomei_2,0.16222535,0.17703821
Bartolomei_2,0.1483881,0.1308048
Bartolomei_2,0.13285768,0.14426118
Bartolomei_2,0.13191345,0.17941798
Bartolomei_2,0.14421445,0.176252
Bartolomei_2,0.11275674,0.1449047
Bartolomei_2,0.10726535,0.13374843
Bartolomei_2,0.09776671,0.12019791
Bartolomei_2,0.08121834,0.082336575
Bartolomei_2,0.072717965,0.08307278
Bartolomei_2,0.06464452,0.08124447
Bartolomei_2,0.058085557,0.086084045
Labuntsov,0.024505397,0.028167108
Labuntsov,0.039237525,0.038292926
Labuntsov,0.05746743,0.07599744
Edelman,0.0012881424,0.0010134422
Edelman,0.0011698942,0.0011176987
Edelman,0.0012881424,0.0012001971
Edelman,0.0012835568,0.0016028648
Edelman,0.001485646,0.001402514
Edelman,0.001567282,0.0017915199
Edelman,0.0020625463,0.001984634
Edelman,0.001962098,0.0022182227
Edelman,0.003130486,0.002603711
Edelman,0.0033859855,0.0030835173
Edelman,0.003349953,0.0033556232
Edelman,0.003919091,0.0041920138
Edelman,0.005699122,0.0048986604
Edelman,0.0064567723,0.0054267035
Edelman,0.0068848366,0.0059055844
Edelman,0.007160285,0.006659684
