X,alp
-0.08548671,0.015780916
-0.078729525,0.009125852
-0.066070437,0.024345756
-0.061162114,0.026040454
-0.050244617,0.046637917
-0.042163496,0.065503755
-0.035945501,0.06895729
-0.030263124,0.08845994
-0.02305119,0.11268779
-0.015939032,0.15236293
-0.009931288,0.16888948
0.00023463013,0.20910425
0.007343578,0.24343294
0.014999917,0.2813162
0.021130624,0.32100883
0.022007306,0.3281219
0.030095208,0.35827473
0.034848697,0.3745266
0.04796682,0.42775803
0.050346146,0.44019085
0.05911615,0.4712226
0.0724708,0.5097469
0.08336112,0.53049335
0.09400448,0.54857098
0.1061275,0.5790974
