z,X,alp
0.009238587,-0.030716815320321424,0.01922921
0.01964591,-0.029906692020651535,0.016873792
0.02940457,-0.029147061725756627,0.00069427415
0.039088342,-0.028393260837104417,0.014474204
0.049051575,-0.02761770624027485,0.017987069
0.059340782,-0.02681677728613108,0.029040486
0.06918699,-0.026050332109576444,0.04638119
0.07924919,-0.02526707375717032,0.029152669
0.08924088,-0.02448930402021889,0.043559607
0.09980134,-0.023667260282244026,0.041203436
0.10942765,-0.022917932331065306,0.03298572
0.119621105,-0.02212445687156083,0.007376395
0.13021056,-0.02130015611465092,0.0161238
0.14001082,-0.020537287606695268,0.015866388
0.15006652,-0.01975453522507989,0.054784987
0.15984105,-0.018993669583038948,0.04468101
0.17041683,-0.018170433310831142,0.04819088
0.18040031,-0.017393302653909228,0.059455298
0.19040896,-0.016614212722402266,0.08035678
0.20015176,-0.015855816996236765,0.058101717
0.21047755,-0.015052040360641014,0.024530591
0.2202423,-0.014291936010036012,0.06931673
0.2301448,-0.013521108970750225,0.049574938
0.23977003,-0.012771865088564403,0.040938217
0.24997175,-0.011977746267739101,0.07713255
0.26037908,-0.01116762242317759,0.074777134
0.26978612,-0.010435362812812215,0.099871635
0.27999935,-0.009640348034478972,0.1404655
0.2899718,-0.00886407597106813,0.08887874
0.30007675,-0.00807748988769212,0.14665247
