z,X,alp
0.049591582,-0.0320998663731419,0.050660323
0.06956499,-0.0299447768717252,0.057847206
0.08938654,-0.0278060725350988,0.05619667
0.10951482,-0.0256342726645121,0.068244554
0.12980434,-0.0234450753306978,0.07675877
0.14977573,-0.0212902035673162,0.0865966
0.15897667,-0.020297441130522,0.08090706
0.1692805,-0.0191856791389088,0.08450237
0.17942174,-0.018091460272737,0.09339864
0.18956198,-0.0169973493045013,0.10362037
0.19953929,-0.0159208181470053,0.11958489
0.20934866,-0.0148624073689091,0.14791955
0.21981038,-0.0137336093721546,0.15239944
0.228841,-0.0127592241118483,0.16217281
0.23930071,-0.0116306429899454,0.16930366
0.24879497,-0.0106062319305147,0.1949855
0.2587438,-0.00953277370624079,0.24850507
0.26917735,-0.00840701519434804,0.2900982
0.27914494,-0.00733153280479155,0.3188756
0.29004246,-0.0061557128874555,0.37593538
0.30016828,-0.00506315780745937,0.40515554
